customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days,previous_purchases_band,discount_flag,is_subscriber,shipping_speed,payment_group,frequency_band_days,value_score,value_segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,Middle-aged,14,Established,True,True,Other,Other,Frequent,0.36771428571428566,Mid
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,Young Adult,14,New/Low,True,True,Other,Other,Frequent,0.4898571428571428,High
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,Senior,14,Established,True,True,Express,Digital Wallet,Frequent,0.6454285714285714,VIP
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,Senior,7,Established,True,True,Express,Digital Wallet,Very Frequent,0.530357142857143,High
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,Senior,7,Established,True,True,Standard,Card,Very Frequent,0.5586428571428572,High
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,Senior,30,New/Low,True,True,Other,Digital Wallet,Frequent,0.3465,Low
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,Young Adult,14,Heavy,True,True,Express,Card,Frequent,0.49242857142857144,High
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,Middle-aged,90,Established,True,True,Standard,Digital Wallet,Occasional,0.5040000000000001,High
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,Middle-aged,7,Emerging,True,True,Standard,Cash,Very Frequent,0.41785714285714276,Mid
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,Senior,14,Heavy,True,True,Standard,Card,Frequent,0.6762857142857143,VIP
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,Young Adult,90,Heavy,True,True,Express,Cash,Occasional,0.48150000000000004,High
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,Young Adult,90,Emerging,True,True,Other,Card,Occasional,0.468,Mid
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,Middle-aged,365,Established,True,True,Other,Card,Rare,0.3387857142857143,Low
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,Young Adult,7,Established,True,True,Express,Card,Very Frequent,0.7277142857142858,VIP
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,Young Adult,7,Emerging,True,True,Other,Card,Very Frequent,0.14142857142857143,Low
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,Young Adult,365,Emerging,True,True,Express,Digital Wallet,Rare,0.2050714285714286,Low
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Adult,365,Emerging,True,True,Express,Card,Rare,0.17614285714285716,Low
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,Middle-aged,90,New/Low,True,True,Express,Other,Occasional,0.4255714285714286,Mid
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,Middle-aged,90,Heavy,True,True,Standard,Digital Wallet,Occasional,0.7611428571428572,VIP
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Young Adult,7,Emerging,True,True,Other,Card,Very Frequent,0.35357142857142854,Low
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Middle-aged,30,Emerging,True,True,Standard,Card,Frequent,0.3439285714285715,Low
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,Adult,30,Heavy,True,True,Other,Digital Wallet,Frequent,0.7463571428571429,VIP
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,Adult,365,Established,True,True,Standard,Digital Wallet,Rare,0.6589285714285715,VIP
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,Heavy,True,True,Other,Cash,Occasional,0.4358571428571429,Mid
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,Adult,90,Established,True,True,Standard,Digital Wallet,Occasional,0.7463571428571428,VIP
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,Middle-aged,14,Heavy,True,True,Standard,Card,Frequent,0.49564285714285716,High
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,Adult,14,Heavy,True,True,Standard,Digital Wallet,Frequent,0.6859285714285714,VIP
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,Adult,7,New/Low,True,True,Other,Digital Wallet,Very Frequent,0.19735714285714284,Low
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Young Adult,90,Heavy,True,True,Standard,Digital Wallet,Occasional,0.4609285714285714,Mid
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Senior,30,Emerging,True,True,Express,Card,Frequent,0.4422857142857143,Mid
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Senior,90,Established,True,True,Express,Card,Occasional,0.6338571428571428,VIP
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Senior,365,Established,True,True,Standard,Digital Wallet,Rare,0.5162142857142857,High
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,Young Adult,365,Emerging,True,True,Standard,Digital Wallet,Rare,0.594,VIP
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,Young Adult,14,Emerging,True,True,Other,Digital Wallet,Frequent,0.44421428571428573,Mid
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,Adult,7,Heavy,True,True,Standard,Digital Wallet,Very Frequent,0.6203571428571428,VIP
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,Middle-aged,365,Emerging,True,True,Standard,Digital Wallet,Rare,0.19478571428571428,Low
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,Heavy,True,True,Other,Cash,Occasional,0.4223571428571428,Mid
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Middle-aged,7,Established,True,True,Standard,Cash,Very Frequent,0.5580000000000002,High
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,Adult,30,Established,True,True,Other,Cash,Frequent,0.41335714285714287,Mid
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,Senior,14,Established,True,True,Express,Card,Frequent,0.4461428571428571,Mid
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,Middle-aged,14,Established,True,True,Other,Card,Frequent,0.38828571428571423,Mid
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,Senior,90,New/Low,True,True,Standard,Card,Occasional,0.4120714285714286,Mid
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,Adult,7,Established,True,True,Standard,Card,Very Frequent,0.16971428571428573,Low
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,Young Adult,7,Established,True,True,Express,Card,Very Frequent,0.36257142857142854,Mid
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,Middle-aged,14,Established,True,True,Express,Card,Frequent,0.7045714285714286,VIP
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,Adult,365,Heavy,True,True,Standard,Card,Rare,0.3895714285714285,Mid
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,Adult,7,Heavy,True,True,Other,Card,Very Frequent,0.7257857142857144,VIP
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,Young Adult,14,Emerging,True,True,Other,Card,Frequent,0.4718571428571429,High
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,Senior,30,Established,True,True,Standard,Digital Wallet,Frequent,0.48600000000000004,High
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,Senior,7,New/Low,True,True,Standard,Card,Very Frequent,0.4737857142857143,High
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,Middle-aged,7,Emerging,True,True,Express,Cash,Very Frequent,0.3143571428571429,Low
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,Middle-aged,90,Emerging,True,True,Other,Card,Occasional,0.5425714285714286,High
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,Young Adult,14,Established,True,True,Standard,Card,Frequent,0.31435714285714284,Low
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,Adult,7,Heavy,True,True,Standard,Card,Very Frequent,0.5535,High
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,Senior,14,Emerging,True,True,Standard,Card,Frequent,0.5997857142857143,VIP
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Senior,90,Heavy,True,True,Standard,Digital Wallet,Occasional,0.5554285714285714,High
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,Young Adult,90,New/Low,True,True,Standard,Digital Wallet,Occasional,0.5438571428571429,High
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,Middle-aged,30,Heavy,True,True,Other,Card,Frequent,0.5380714285714286,High
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,Middle-aged,90,Emerging,True,True,Express,Cash,Occasional,0.37157142857142855,Mid
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,Middle-aged,7,New/Low,True,True,Express,Cash,Very Frequent,0.42171428571428576,Mid
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,Young Adult,90,Established,True,True,Express,Card,Occasional,0.39278571428571424,Mid
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,Adult,365,Established,True,True,Express,Other,Rare,0.3741428571428571,Mid
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,Young Adult,90,Emerging,True,True,Other,Other,Occasional,0.1915714285714286,Low
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,Middle-aged,14,Heavy,True,True,Standard,Other,Frequent,0.5805,High
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,Middle-aged,30,New/Low,True,True,Express,Cash,Frequent,0.3638571428571429,Mid
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,Senior,365,Emerging,True,True,Standard,Card,Rare,0.4390714285714286,Mid
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,Middle-aged,30,Established,True,True,Standard,Digital Wallet,Frequent,0.4557857142857143,Mid
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,Young Adult,14,Established,True,True,Express,Card,Frequent,0.4455,Mid
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,Middle-aged,14,Heavy,True,True,Standard,Digital Wallet,Frequent,0.8325,VIP
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,Adult,90,Heavy,True,True,Standard,Other,Occasional,0.621,VIP
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,Young Adult,90,Emerging,True,True,Other,Card,Occasional,0.49885714285714283,High
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,Senior,90,Established,True,True,Express,Card,Occasional,0.5760000000000001,High
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,Young Adult,90,Emerging,True,True,Standard,Card,Occasional,0.2995714285714286,Low
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,Adult,7,Established,True,True,Standard,Other,Very Frequent,0.4461428571428571,Mid
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,Middle-aged,90,Heavy,True,True,Standard,Other,Occasional,0.48857142857142866,High
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,Middle-aged,14,New/Low,True,True,Express,Card,Frequent,0.5239285714285714,High
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,Young Adult,14,Heavy,True,True,Standard,Cash,Frequent,0.4982142857142858,High
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,Middle-aged,14,Heavy,True,True,Standard,Card,Frequent,0.5329285714285714,High
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,Adult,30,Established,True,True,Standard,Card,Frequent,0.4300714285714286,Mid
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,Middle-aged,90,Emerging,True,True,Express,Cash,Occasional,0.47250000000000003,High
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,Young Adult,30,Established,True,True,Express,Card,Frequent,0.34199999999999997,Low
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,Adult,90,Emerging,True,True,Standard,Card,Occasional,0.6537857142857143,VIP
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,Senior,90,Emerging,True,True,Standard,Digital Wallet,Occasional,0.5496428571428572,High
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,Adult,7,Heavy,True,True,Standard,Card,Very Frequent,0.6582857142857143,VIP
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,Senior,7,Established,True,True,Standard,Card,Very Frequent,0.6145714285714285,VIP
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,Adult,30,Heavy,True,True,Standard,Digital Wallet,Frequent,0.7791428571428572,VIP
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,Adult,90,Heavy,True,True,Express,Digital Wallet,Occasional,0.6255,VIP
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,Young Adult,365,Established,True,True,Other,Cash,Rare,0.7624285714285715,VIP
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,Young Adult,365,Emerging,True,True,Express,Other,Rare,0.34264285714285714,Low
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,Young Adult,90,Established,True,True,Express,Card,Occasional,0.4037142857142857,Mid
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,Senior,14,Established,True,True,Express,Cash,Frequent,0.5618571428571429,High
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,Young Adult,14,Heavy,True,True,Express,Card,Frequent,0.7965,VIP
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,Middle-aged,90,Established,True,True,Express,Card,Occasional,0.6370714285714286,VIP
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,Middle-aged,14,Emerging,True,True,Express,Digital Wallet,Frequent,0.5805,High
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,Middle-aged,30,New/Low,True,True,Standard,Digital Wallet,Frequent,0.18900000000000003,Low
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,Senior,365,New/Low,True,True,Express,Other,Rare,0.4602857142857143,Mid
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,Senior,30,Established,True,True,Standard,Card,Frequent,0.3683571428571428,Mid
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,Young Adult,14,Heavy,True,True,Express,Digital Wallet,Frequent,0.5547857142857143,High
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,Senior,14,Established,True,True,Express,Other,Frequent,0.5457857142857143,High
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,Senior,14,Heavy,True,True,Express,Other,Frequent,0.5715,High
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,26,Venmo,Fortnightly,Middle-aged,14,Established,True,True,Standard,Digital Wallet,Frequent,0.3227142857142857,Low
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,Young Adult,365,New/Low,True,True,Standard,Card,Rare,0.5239285714285715,High
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,Adult,14,Established,True,True,Standard,Digital Wallet,Frequent,0.5380714285714286,High
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,Adult,90,Emerging,True,True,Express,Digital Wallet,Occasional,0.3291428571428571,Low
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,Senior,7,New/Low,True,True,Other,Cash,Very Frequent,0.49692857142857144,High
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Every 3 Months,Middle-aged,90,Heavy,True,True,Standard,Card,Occasional,0.7521428571428572,VIP
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,Middle-aged,365,Emerging,True,True,Standard,Digital Wallet,Rare,0.44871428571428573,Mid
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,Middle-aged,14,Established,True,True,Express,Cash,Frequent,0.423,Mid
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,Middle-aged,14,Established,True,True,Standard,Cash,Frequent,0.48664285714285715,High
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,Adult,365,Heavy,True,True,Express,Cash,Rare,0.6904285714285714,VIP
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,32,Bank Transfer,Annually,Senior,365,Established,True,True,Express,Other,Rare,0.6222857142857143,VIP
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,Young Adult,14,Emerging,True,True,Standard,Cash,Frequent,0.4512857142857143,Mid
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Fortnightly,Adult,14,Heavy,True,True,Standard,Cash,Frequent,0.5734285714285714,High
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,Middle-aged,7,Heavy,True,True,Standard,Cash,Very Frequent,0.6537857142857143,VIP
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,Adult,365,Heavy,True,True,Express,Digital Wallet,Rare,0.666,VIP
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,45,Venmo,Every 3 Months,Middle-aged,90,Heavy,True,True,Express,Digital Wallet,Occasional,0.5348571428571429,High
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,48,Cash,Every 3 Months,Adult,90,Heavy,True,True,Other,Cash,Occasional,0.5001428571428571,High
